date,revenue,quantity,n_invoices,n_customers,revenue_roll7_mean,revenue_roll7_std,quantity_roll7_mean,quantity_roll7_std,revenue_roll14_mean,revenue_roll14_std,quantity_roll14_mean,quantity_roll14_std,revenue_roll30_mean,revenue_roll30_std,quantity_roll30_mean,quantity_roll30_std,is_partial_day
2010-01-06,8733.0,7456,14,13,5892.591428571429,7938.789654465487,4198.285714285715,5368.687416066284,2946.2957142857144,6199.723971345191,2099.1428571428573,4248.315844718155,17853.34766666667,20587.29390581995,9725.133333333331,11392.76351002698,False
2010-01-07,73020.89,40612,47,41,16324.147142857142,26102.077312211968,10000.0,14408.623528984295,8162.073571428571,19651.938385254514,5000.0,11078.914803841082,18664.22033333333,22255.418637089715,10307.866666666669,12495.761335785808,False
2010-01-08,28255.91,12675,42,40,20360.70571428572,25330.29539671673,11810.714285714286,13722.581228450736,10180.352857142858,20192.72025994418,5905.357142857143,11156.511776379004,18310.407,22006.084611127066,10135.866666666669,12423.886272802894,False
2010-01-09,0.0,0,0,0,20360.70571428572,25330.29539671673,11810.714285714286,13722.581228450736,10180.352857142858,20192.72025994418,5905.357142857143,11156.511776379004,16905.061333333335,21775.47292615228,9350.0,12289.33736043651,False
2010-01-10,23485.85,13379,34,29,23715.827142857142,23685.97862424499,13722.0,12696.790079911274,11857.913571428571,20257.37301685813,6861.0,11184.733290035603,16372.993333333336,21397.38960718796,9087.033333333333,12108.597889967255,False
2010-01-11,34122.44,13963,54,36,26676.06142857143,23475.911048510578,14197.285714285714,12624.079368601968,14295.230714285712,20767.257725946853,7858.357142857143,11148.357413380834,17510.408,21403.960929449862,9552.466666666667,12015.260660519596,False
2010-01-12,40165.42,21243,38,31,29683.35857142857,23693.130890311808,15618.285714285714,12801.65499345411,17164.189285714285,21405.0803844585,9375.714285714286,11438.3902137197,18119.173333333336,21789.429857261035,9843.7,12193.877602135508,False
2010-01-13,19957.71,8812,28,23,31286.88857142857,22382.50159145862,15812.0,12667.110720286611,18589.74,20830.91396836405,10005.142857142857,11120.82332907431,16457.58166666667,19491.536389005825,8627.833333333334,10192.026850243865,False
2010-01-14,30490.65,13776,57,46,25211.14,12950.94810332433,11978.285714285714,6441.504785743924,20767.643571428573,20325.615191515437,10989.142857142857,10771.422824786408,15819.264666666668,18663.35130634713,8185.1,9637.20720866572,False
2010-01-15,13339.9,8408,45,37,23080.28142857143,13578.378325329611,11368.714285714286,6565.292471634086,21720.49357142857,19576.012910652276,11589.714285714286,10337.227640750842,14594.964,17508.06786693801,7636.0,9107.875341778632,False
2010-01-16,0.0,0,0,0,23080.28142857143,13578.378325329611,11368.714285714286,6565.292471634086,21720.49357142857,19576.012910652276,11589.714285714286,10337.227640750842,13604.684,17463.87222994266,7122.566666666667,9089.065422474574,False
2010-01-17,17393.2,9911,40,35,22209.902857142853,13742.329041933071,10873.285714285714,6518.996950305715,22962.865,18620.089384958028,12297.642857142857,9808.30850003547,12815.043,16697.34493205888,6873.2,8898.2190872184,False
2010-01-18,20252.88,10329,40,32,20228.537142857145,12698.75565825082,10354.142857142857,6375.046076397442,23452.299285714285,18438.583630539702,12275.714285714286,9812.651444621188,13490.139,16570.291196216258,7217.5,8822.612377021464,False
2010-01-19,31575.16,15264,46,41,19001.35714285714,10710.393149831483,9500.0,4903.737384213522,24342.35785714286,18513.67452551353,12559.142857142857,9839.44587133569,14167.454666666668,16888.04360401489,7518.4,8941.15772647229,False
2010-01-20,16816.95,9474,35,30,18552.677142857145,10729.421824476713,9594.57142857143,4894.632565615206,24919.78285714285,18111.07122846236,12703.285714285714,9773.49710995208,14192.318333333333,16891.491562224768,7542.133333333333,8945.51645637435,False
2010-01-21,27359.23,72900,48,47,18105.33142857143,10200.9991838748,18040.85714285714,24611.85118615672,21658.235714285714,11791.28899730886,15009.57142857143,17567.581418030226,14271.633333333331,16949.37862380095,9490.366666666669,14891.177599813767,False
2010-01-22,34054.340000000004,18544,43,38,21064.537142857145,11508.877403924203,19488.85714285714,24246.111718710497,22072.40928571429,12137.611569177125,15428.785714285714,17577.60925451455,15051.289,17311.816819404878,9955.933333333332,14950.484335213732,False
2010-01-23,0.0,0,0,0,21064.537142857145,11508.877403924203,19488.85714285714,24246.111718710497,22072.40928571429,12137.611569177125,15428.785714285714,17577.60925451455,15051.289,17311.816819404878,9955.933333333332,14950.484335213732,False
2010-01-24,15876.84,8843,50,48,20847.914285714283,11603.379978733004,19336.285714285717,24319.675098667787,21528.90857142857,12239.383945048898,15104.785714285714,17659.91070705961,15580.517,17076.914051031123,10250.7,14834.144983437876,False
2010-01-25,22327.29,10025,57,44,21144.25857142857,11612.136673457117,19292.85714285714,24338.704515158377,20686.397857142856,11699.886884455282,14823.5,17710.784731560943,16324.76,16859.621542688186,10584.866666666669,14707.642786199176,False
2010-01-26,37743.54,22920,56,45,22025.45571428572,12717.09603407012,20386.571428571428,24299.472640760083,20513.40642857143,11403.880649809586,14943.285714285714,17763.13619411137,17582.878,17007.035905958888,11348.866666666669,14734.118469900306,False
2010-01-27,27938.86,17834,56,47,23614.3,12652.50979423582,21580.85714285714,23875.487432571037,21083.48857142857,11572.211647877624,15587.714285714286,17687.08052366329,18514.17333333333,16774.37318154203,11943.333333333334,14619.768886642854,False
2010-01-28,19796.87,11242,55,47,22533.96285714286,12602.211428050654,12772.57142857143,7641.658455622126,20319.647142857146,11252.013223336058,15406.714285714286,17719.981977888783,19174.069,16406.280442909934,12318.066666666668,14446.127666164602,False
2010-01-29,18893.08,10155,48,37,20368.06857142857,11551.28888429978,11574.142857142857,7232.546103749172,20716.30285714285,11083.65721221004,15531.5,17672.994168635243,19803.838333333333,16002.533044722906,12656.566666666668,14265.383898488826,False
2010-01-30,0.0,0,0,0,20368.06857142857,11551.28888429978,11574.142857142857,7232.546103749172,20716.30285714285,11083.65721221004,15531.5,17672.994168635243,19803.838333333333,16002.533044722906,12656.566666666668,14265.383898488826,False
2010-01-31,18250.35,10718,53,47,20707.141428571427,11431.69901619386,11842.0,7148.775489550655,20777.527857142853,11066.24241506516,15589.142857142857,17654.55844755178,20412.18333333333,15564.625737022883,13013.833333333334,14070.35809676727,False
2010-02-01,18116.71,9228,63,49,20105.63,11443.012394636304,11728.142857142857,7188.7725987257845,20624.94428571428,11088.736930583562,15510.5,17682.222909986784,21016.073666666667,15089.55007101442,13321.433333333332,13875.565816815595,False
2010-02-02,20854.52,11092,45,34,17692.912857142856,8508.542129009167,10038.42857142857,5247.726169721619,19859.184285714287,10635.272123518407,15212.5,17721.80798099857,21711.22433333333,14559.02946837262,13691.166666666666,13654.375552543035,False
2010-02-03,20674.46,10274,49,41,16655.141428571427,7424.544191529941,8958.42857142857,4007.317051642051,20134.72071428571,10600.303955545116,15269.642857142857,17703.161171893054,21953.679666666667,14476.190943550995,13679.1,13657.328204275913,False
2010-02-04,22277.71,12787,62,51,17009.547142857144,7655.136987273568,9179.142857142857,4192.3302362199465,19771.755,10419.354115786891,10975.857142857143,6208.046959788956,22059.125333333333,14466.313551150644,13728.8,13651.068381581736,False
2010-02-05,21273.54,10336,39,34,17349.61285714286,7804.177940854746,9205.0,4199.903530638157,18858.84071428571,9599.333195885938,10389.57142857143,5813.369269514547,22477.14333333333,14247.494591019124,13824.8,13615.514683498071,False
2010-02-06,0.0,0,0,0,17349.61285714286,7804.177940854746,9205.0,4199.903530638157,18858.84071428571,9599.333195885938,10389.57142857143,5813.369269514547,20043.113666666664,11233.506828463716,12471.066666666668,12858.216420353314,False
2010-02-07,16867.83,11177,30,29,17152.109999999997,7795.072114975376,9270.57142857143,4230.930861214957,18929.625714285718,9579.285422404311,10556.285714285714,5799.054689921724,19663.511,11138.420694564318,12421.133333333331,12860.305642673831,False
2010-02-08,15886.72,8599,58,45,16833.54,7794.648232856098,9180.714285714286,4238.658031118114,18469.585,9558.192007241938,10454.42857142857,5821.583933475952,20193.068333333336,10532.487684394622,12707.766666666666,12668.309313981585,False
2010-02-09,18625.49,10850,54,51,16515.10714285714,7647.137315082281,9146.142857142857,4221.4228813111495,17104.010000000002,7795.952015250745,9592.285714285714,4598.83643191105,20031.05633333333,10517.461772457906,12623.466666666667,12672.102557310229,False
2010-02-10,8835.51,3752,31,24,14823.828571428572,7879.565220000888,8214.42857142857,4630.884395632704,15739.485,7416.231682454517,8586.42857142857,4178.327392892714,19188.158666666663,10361.32053174414,12283.1,12771.623179722596,False
2010-02-11,14856.27,9025,56,48,13763.622857142856,7177.484927841402,7677.0,4211.044051063843,15386.585,7325.30156239291,8428.07142857143,4111.416234832442,18344.52033333333,9596.550976934346,11875.833333333334,12670.4595678657,False
2010-02-12,11002.27,7645,32,27,12296.298571428571,6393.390721796036,7292.571428571428,4047.5012397421774,14822.955714285714,7338.307172062866,8248.785714285714,4084.9590559772814,18046.005666666668,9683.531804055232,11836.933333333332,12681.976491049814,False
2010-02-13,0.0,0,0,0,12296.298571428571,6393.390721796036,7292.571428571428,4047.501239742178,14822.955714285714,7338.307172062866,8248.785714285714,4084.9590559772814,17029.650666666665,9929.323832175036,11377.733333333334,12857.535528143451,False
2010-02-14,17685.58,10894,45,38,12413.12,6497.46865479165,7252.142857142857,4003.408107624135,14782.615,7319.54486267023,8261.357142857143,4093.404669186043,17174.506666666668,9905.308863307206,11460.6,12845.741346105113,False
2010-02-15,40888.88,96419,44,35,15984.857142857143,12667.573173355811,19797.85714285714,34017.92032360088,16409.198571428573,10114.211730681694,14489.285714285714,23932.025178468644,18537.46933333333,10267.150450924031,14674.566666666668,19967.28011226389,False
2010-02-16,30367.23,16694,61,51,17662.248571428572,13802.10535689565,20632.714285714286,33832.93340181174,17088.67785714286,10736.231596046931,14889.42857142857,23917.681572472648,18969.937,10488.1542535104,14900.666666666666,19949.87588300053,False
2010-02-17,26397.72,25011,48,41,20171.13571428572,13523.58568143678,23669.714285714286,33009.219882301,17497.48214285714,10989.251511981478,15942.07142857143,24022.989987043293,19174.765000000003,10573.727023706122,15390.066666666668,20013.84194955105,False
2010-02-18,35749.14,19852,63,58,23155.83142857143,14430.244734097463,25216.42857142857,32457.69706791258,18459.727142857144,11984.724425843358,16446.714285714286,24025.82006421928,19313.897666666668,10768.19513180194,15543.0,20030.36790682484,False
2010-02-19,25817.06,12581,58,30,25272.230000000003,13400.31629126094,25921.571428571428,32063.559174745104,18784.26428571429,12127.449212746647,16607.071428571428,23989.361909827014,19613.90133333333,10821.471428063644,15646.566666666668,20005.92362049789,False
2010-02-20,0.0,0,0,0,25272.230000000003,13400.31629126094,25921.571428571428,32063.559174745104,18784.26428571429,12127.449212746647,16607.071428571428,23989.361909827014,18701.927,11288.974123396596,13216.566666666668,17015.798781869085,False
2010-02-21,11392.68,5551,37,34,24373.244285714285,14182.37334988736,25158.285714285717,32540.96137544334,18393.182142857146,12281.308129359815,16205.214285714286,24134.00648041479,17946.538333333334,10980.22880179833,12783.466666666667,17040.860565393854,False
2010-02-22,26353.58,13427,48,41,22296.772857142856,12300.485453510517,13302.285714285714,8456.412906078749,19140.815,12434.620079906395,16550.071428571428,24051.31133947485,18824.991,10540.311862270131,13231.033333333333,16868.992747321798,False
2010-02-23,22278.27,11859,47,42,21141.207142857143,11785.106373250255,12611.57142857143,8329.71847977955,19401.727857142854,12461.26954165164,16622.14285714286,24034.422621466336,19038.372,10543.366354484946,13331.566666666668,16850.917301713736,False
2010-02-24,32729.34,22444,63,47,22045.72428571429,12478.376164645591,12244.857142857143,7727.599097360305,21108.43,12538.809710500367,17957.285714285714,23782.3335738901,19385.107,10822.603289382478,13745.533333333333,16919.292201575656,False
2010-02-25,46180.01,26301,67,55,23535.84857142857,14795.247447691248,13166.142857142857,9055.9362193825,23345.84,14041.9517226258,19191.285714285717,23731.35758841055,19666.322666666663,11409.759606174091,13858.233333333334,16993.60820544683,False
2010-02-26,16187.18,7415,36,26,22160.15142857143,14994.150459536357,12428.142857142857,9318.267264332131,23716.19071428572,13756.832606929129,19174.85714285714,23740.0436486448,19274.6,11317.307426491683,13510.933333333332,17016.005540288425,False
2010-02-27,0.0,0,0,0,22160.15142857143,14994.150459536357,12428.142857142857,9318.267264332131,23716.19071428572,13756.832606929129,19174.85714285714,23740.0436486448,18614.70433333333,11850.411813979912,13136.2,17190.588243731432,False
2010-02-28,16628.99,8408,53,50,22908.19571428572,14489.56867329834,12836.285714285714,9024.790112319986,23640.72,13795.306254863526,18997.285714285717,23815.92375646232,18539.234666666667,11855.786078958468,13077.966666666667,17203.989101334915,False
2010-03-01,25397.34,21440,58,49,22771.59,14456.141374170356,13981.0,9601.93886670812,22534.18142857143,12897.468071587864,13641.642857142857,8699.518913375365,19385.81266666667,11383.684332359757,13792.633333333331,17086.90557825582,False
2010-03-02,25490.46,11887,55,48,23230.47428571429,14488.817564595412,13985.0,9600.913324609628,22185.840714285718,12734.462720306808,13298.285714285714,8664.5722112748,19627.149666666668,11435.410728801831,13831.6,17080.98402357994,False
2010-03-03,33438.17,20365,62,52,23331.735714285714,14568.526757590436,13688.0,9323.782100985987,22688.73,13048.723634719096,12966.42857142857,8261.036987563364,20137.865,11704.593686573544,14202.833333333334,17098.495798094966,False
2010-03-04,31375.63,18525,73,66,21216.824285714283,11436.800807840822,12577.142857142857,7929.567567624594,22376.336428571427,12761.182475568752,12871.642857142857,8183.202115470278,20488.568666666662,11883.068023114954,14450.6,17105.716315374488,False
2010-03-05,26776.59,18222,81,55,22729.597142857143,11360.727510779863,14121.0,7808.120559178546,22444.87428571429,12783.640401639965,13274.57142857143,8305.750035267827,20691.973,11938.45614785496,14715.533333333333,17100.347011468617,False
2010-03-06,0.0,0,0,0,22729.597142857143,11360.727510779863,14121.0,7808.120559178546,22444.87428571429,12783.640401639965,13274.57142857143,8305.750035267827,19949.382666666665,12515.335824689831,14289.3,17308.17188328621,False
2010-03-07,19342.9,10911,56,46,23117.29857142857,11162.413871911736,14478.57142857143,7556.136686101413,23012.747142857144,12426.50868950197,13657.42857142857,8041.680303884877,19885.028,12513.255697288638,14308.466666666667,17303.960991102853,False
2010-03-08,35825.43,15566,75,65,24607.02571428571,12167.990161730157,13639.42857142857,6956.56881077501,23689.307857142856,12872.244837246451,13810.214285714286,8057.270134944738,21079.209,12256.969172768975,14827.333333333334,17092.201696989614,False
2010-03-09,21573.33,12343,56,50,24047.43571428571,12210.588125535229,13704.57142857143,6939.537853419897,23638.955,12879.565722685706,13844.785714285714,8049.288427017543,21236.059,12231.299435535302,14866.2,17084.938988316077,False
2010-03-10,26550.38,17918,61,47,23063.465714285718,11589.450915775164,13355.0,6601.507201642163,23197.600714285712,12647.88202783342,13521.5,7763.15246979155,21591.514333333336,12225.428581027512,15176.833333333334,17051.746762748957,False
2010-03-11,23990.61,14178,48,39,22008.46285714285,11029.26817902214,12734.0,6228.005646539937,21612.643571428573,10801.93870204404,12655.57142857143,6850.506390201945,21770.351666666666,12219.784539584816,15287.766666666666,17033.442721413605,False
2010-03-12,21279.39,11025,36,30,21223.148571428574,10827.03422362964,11705.857142857143,5746.467304021702,21976.37285714285,10690.35385996785,12913.42857142857,6704.458914831175,22185.147666666668,11974.311778352176,15530.2,16914.94035257099,False
2010-03-13,0.0,0,0,0,21223.148571428574,10827.03422362964,11705.857142857143,5746.467304021702,21976.37285714285,10690.35385996785,12913.42857142857,6704.458914831175,21689.93866666667,12579.747688000329,15229.366666666669,17113.712460225113,False
2010-03-14,8924.0,4898,24,22,19734.734285714287,11800.94700838433,10846.857142857143,6307.155630143996,21426.016428571427,11174.204829633016,12662.714285714286,6947.136670030884,21620.663,12646.18036907972,15137.8,17162.969818568796,False
2010-03-15,26552.95,15053,56,41,18410.094285714287,10090.168323817086,10773.57142857143,6245.865375247392,21508.56,11210.008389587192,12206.5,6523.178104032034,22505.761333333336,11993.13435002155,15639.566666666668,16923.519204173313,False
2010-03-16,23517.46,12837,45,42,18687.827142857142,10217.69834155049,10844.142857142857,6269.300530590083,21367.63142857143,11168.423360799134,12274.357142857143,6524.539884834108,22700.157333333333,11959.527390261128,15704.333333333334,16908.442800980312,False
2010-03-17,30489.06,78795,48,40,19250.495714285717,10813.890330355756,19540.85714285714,26688.55694505651,21156.98071428572,10948.89938413162,16447.928571428572,18951.51854059472,22353.496666666662,11558.115122740652,15116.866666666669,14076.37908165927,False
2010-03-18,40040.58,23617,84,70,21543.34857142857,13382.825100700806,20889.285714285717,26610.77888572152,21775.90571428572,11784.03661083058,16811.64285714286,19043.088876008544,22675.941666666666,11918.6967033501,15347.633333333331,14159.627299993195,False
2010-03-19,23404.5,13342,54,45,21846.93571428571,13399.93221683833,21220.285714285717,26481.72885666824,21535.042142857143,11708.179282258634,16463.071428571428,19059.942543558103,22576.167666666668,11898.978686740056,14958.666666666666,14044.828930184976,False
2010-03-20,0.0,0,0,0,21846.93571428571,13399.93221683833,21220.285714285717,26481.72885666824,21535.042142857143,11708.179282258634,16463.071428571428,19059.942543558103,21384.529666666665,12316.993073161142,14296.933333333332,14272.157169512404,False
2010-03-21,20429.08,12223,56,51,23490.518571428573,12202.783805264036,22266.714285714286,25866.84115951209,21612.62642857143,11696.12822840605,16556.785714285714,19033.751565123912,21204.930333333334,12289.383017899254,14285.0,14273.790954294394,False
2010-03-22,24799.27,12763,56,49,23239.992857142854,12147.30832805182,21939.571428571428,25987.479625498785,20825.04357142857,11016.977455288374,16356.57142857143,19059.699802762592,22031.572666666667,11630.235854100854,14710.433333333332,14021.310863217765,False
2010-03-23,32284.36,54440,67,57,24492.407142857144,12623.301178762911,27882.85714285714,28220.137959907115,21590.117142857143,11436.85195292119,19363.5,21537.43456528298,22727.962,11596.661324620727,16340.066666666668,15664.79657006784,False
2010-03-24,28183.82,14309,68,58,24163.087142857144,12469.923266634689,18670.571428571428,17206.573209650072,21706.79142857143,11499.50735740974,19105.714285714286,21577.62782081539,22788.970000000005,11621.181143324686,16369.466666666667,15659.967674545693,False
2010-03-25,31925.24,17003,79,66,23003.75285714286,11043.412540977708,17725.714285714286,17070.74165264733,22273.550714285717,11812.009995466777,19307.5,21541.17932186915,23110.53566666667,11739.429822987397,16540.933333333334,15637.022899766313,False
2010-03-26,32114.14,20892,61,48,24247.987142857142,11573.990137497543,18804.285714285717,16985.908490219037,23047.46142857143,12093.451039498672,20012.285714285717,21410.36413094789,23090.029,11722.573336094742,16489.2,15619.37718392744,False
2010-03-27,0.0,0,0,0,24247.987142857142,11573.990137497543,18804.285714285717,16985.908490219037,23047.46142857143,12093.451039498672,20012.285714285717,21410.36413094789,21550.695333333337,11617.553329432352,15612.5,15786.886281515974,False
2010-03-28,22348.05,14484,58,55,24522.125714285718,11490.888650752611,19127.285714285717,16860.93990771062,24006.322142857145,11399.782298974747,20697.0,21039.89733449652,21756.057666666668,11573.843999173498,15848.133333333331,15712.894320036768,False
2010-03-29,58983.01,25125,85,41,29405.51714285714,17381.91725994644,20893.285714285717,16730.13707569154,26322.755,14757.46694311404,21416.42857142857,21004.232176889,23722.158,12705.165256711163,16685.633333333335,15507.296532841285,False
2010-03-30,37747.9,19249,70,54,30186.022857142856,17653.279096429196,15866.0,7956.039048002045,27339.215,15036.817335854092,21874.42857142857,20872.258838778493,24426.121666666662,12882.435198769828,17047.0,15433.891486394255,False
2010-03-31,28964.88,13635,75,59,30297.602857142854,17640.978809106862,15769.714285714286,7982.058625740722,27230.345,15017.76309366178,17220.14285714286,12973.727688365749,24545.039666666667,12908.150032120568,16786.833333333332,15423.06588798276,False
2010-04-01,30084.3,17184,77,71,30034.611428571425,17626.38620581696,15795.57142857143,7987.011223587597,26519.182142857146,14594.240461014942,16760.64285714286,12843.000168347571,24698.167666666664,12946.942017062978,16963.4,15395.332903636514,False
2010-04-02,0.0,0,0,0,25446.877142857145,20874.86226505995,12811.0,9521.264936971344,24847.432142857146,16227.54878413921,15807.642857142857,13589.50838872594,23583.562,13591.85530932819,16284.566666666668,15686.402630794682,False
2010-04-03,0.0,0,0,0,25446.877142857145,20874.86226505995,12811.0,9521.264936971344,24847.432142857146,16227.54878413921,15807.642857142857,13589.50838872594,22537.707666666665,14166.584196423506,15667.066666666668,15957.445543421552,False
2010-04-04,0.0,0,0,0,22254.29857142857,23025.89907267642,10741.857142857143,10608.803285142816,23388.21214285714,17522.28458137508,14934.57142857143,14215.733302952029,21645.154666666665,14722.90233725058,15059.666666666666,16201.770050880526,False
2010-04-05,0.0,0,0,0,13828.154285714289,17466.197724308175,7152.571428571428,9070.20888875852,21616.83571428572,18589.667272642742,14022.92857142857,14764.360302713818,21645.154666666665,14722.90233725058,15059.666666666666,16201.770050880526,False
2010-04-06,19366.52,13018,55,46,11202.242857142855,14379.729723943234,6262.428571428572,7917.757718300938,20694.13285714286,18338.34360347798,11064.214285714286,9109.321989280852,21645.942,14722.77560569229,15129.9,16187.726530647671,False
2010-04-07,34473.81,23520,61,46,11989.232857142855,15611.848319983015,7674.571428571428,10047.016586316264,21143.417857142857,18610.9791625519,11722.142857142857,9676.674952268892,21600.888,14679.893528373725,15395.033333333333,16260.091763925084,False
2010-04-08,47415.44,26771,85,69,14465.11,19778.160396572937,9044.142857142857,12019.217423617492,22249.860714285714,19728.19834197719,12419.857142857143,10411.014403078068,22462.291666666668,15417.867817765082,15875.966666666667,16379.640163794878,False
2010-04-09,16275.16,9072,51,33,16790.132857142857,18722.76033211156,10340.142857142857,11352.06639674867,21118.505,19572.54169637491,11575.57142857143,10147.039573683063,22119.784333333333,15438.03809580038,15581.1,16421.182090992024,False
2010-04-10,0.0,0,0,0,16790.132857142857,18722.76033211156,10340.142857142857,11352.06639674867,21118.505,19572.54169637491,11575.57142857143,10147.039573683063,21320.09733333333,15950.632328308126,15108.5,16665.163832646995,False
2010-04-11,19589.05,11579,42,40,19588.56857142857,17196.691568463997,11994.285714285714,10397.751050335924,20921.433571428573,19573.099242722277,11368.07142857143,10112.63347322231,21263.75266666667,15953.766288282006,15126.966666666667,16660.78924421739,False
